sei,fornecedor,valor,score,status,n_docs,tem_cadeia
SEI-270003/002887/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,integra,8,1
SEI-270006/000145/2022,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,nao_coletado,0,0
SEI-270006/012374/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,so_despacho,0,0
SEI-270006/013385/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,so_despacho,0,0
SEI-270006/015226/2024,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,so_despacho,0,0
SEI-270006/016880/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,integra,8,1
SEI-270006/019057/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,nao_coletado,0,0
SEI-270006/020256/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,nao_coletado,0,0
SEI-270006/020870/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,integra,7,1
SEI-270007/021275/2024,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,integra,8,1
SEI-270007/024061/2025,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,nao_coletado,0,0
SEI-270007/053365/2024,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,integra,7,1
SEI-270060/001179/2021,HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,120600.00,40,nao_coletado,0,0
SEI-270003/000416/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,nao_coletado,0,0
SEI-270042/000083/2023,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
SEI-270042/001711/2022,ENERGISA NOVA FRIBURGO  DISTRIBUIDORA DE ENERGIA S/A,121748.81,40,integra,8,1
